,Gini
TP-AB_mom-4,0.012351880139576818
alpha-P1_ztf-7,0.01233554871054871
TP-AB_dhhc-3,0.012306325725556495
TP-ABa_pqn-70,0.012303034300101606
alpha-P1_sluh-7,0.012269972994053876
TP-P0_spn-4,0.012250620153267212
TP-P2_cdc-48.1,0.012222007252007252
TP-P2_ubr-4,0.012215046899360626
alpha-P2_T20F5.6,0.012214492830401923
TP-P2_rpt-3,0.012188496688496689
alpha-diff_pab-1,0.012159637149343032
TP-ABa_ari-1.3,0.012149488350454263
alpha-diff2_rsr-1,0.01212044494856995
TP-ABa_eat-6,0.012069420194704285
alpha-ABa_rsp-4,0.012050281363916745
TP-ABa_atp-4,0.012041549191549192
alpha-AB_noca-1,0.012038920774214893
TP-ABa_pas-1,0.011995534989000897
alpha-diff2_ogt-1,0.01197514985014985
TP-P0_T07C4.3,0.011955044955044956
TP-ABa_met-2,0.011947407222407223
TP-ABa_T14B4.3,0.011923645182431946
TP-P2_R04F11.2,0.011904137159137157
TP-AB_dss-1,0.011892109198267414
alpha-diff2_jhdm-1,0.01189071214980306
alpha-ABa_F48A11.4,0.011822363910599204
TP-AB_mip-2,0.01180472349288139
TP-P1_natc-1,0.011795494676263906
alpha-diff2_F32D1.7,0.011732551247654061
alpha-P1_spo-11,0.011727977904448494
TP-ABa_F10D11.2,0.011701911421911423
TP-AB_rps-8,0.011696922036297039
alpha-diff_chdp-1,0.011692570762570763
alpha-AB_spd-5,0.011689182277417573
TP-P2_tkt-1,0.011688257113257113
alpha-P2_unc-69,0.011682721086232991
alpha-P1_rbm-42,0.011654662929662928
alpha-P1_rnr-2,0.011639303971087188
alpha-diff_pas-2,0.011633877233877233
TP-P1_spcs-1,0.011632105650340945
TP-ABa_gdh-1,0.011611546721252603
TP-P1_eef-1G,0.01160895967866556
alpha-P2_Y54G11A.3,0.011583328691481973
alpha-diff_D2030.7,0.01155609442844737
alpha-AB_dss-1,0.011523830152690446
TP-P2_swd-2.2,0.011510412721181952
TP-ABa_mfsd-13.1,0.01150310110368934
alpha-diff2_daf-18,0.0115028781314839
alpha-P2_nuo-4,0.011491782280516257
alpha-AB_B0495.9,0.011473029235721546
alpha-P1_B0464.6,0.011469112619783617
alpha-diff_eat-6,0.01146348094925018
TP-P0_dlat-1,0.011410256365411504
alpha-P1_nra-2,0.011409147469678606
alpha-P1_gcna-1,0.011393700159489633
TP-ABa_Y43F4B.10,0.011391091284557195
TP-ABa_ufd-1,0.011381710595801505
alpha-diff_Y14H12B.1,0.011352105533355531
TP-P2_daf-18,0.011340525592222424
TP-AB_gld-3,0.011293203177294086
alpha-P2_crn-1,0.011281351394817304
TP-ABa_W05F2.3,0.011278049347166995
alpha-ABa_rpn-12,0.011260801861537157
alpha-P2_rnr-2,0.011256752122576427
TP-P0_mob-4,0.011228193892046705
alpha-AB_D2005.4,0.011182970920938836
alpha-AB_D2005.3,0.011179097796790105
TP-P1_nse-4,0.01117716973682883
alpha-diff_F23B12.7,0.011175305087069792
alpha-P1_zif-1,0.011160579940341845
TP-ABa_znf-207,0.011156618936618937
alpha-diff2_tbg-1,0.011116359068282147
alpha-AB_F59C6.5,0.011094796384171384
TP-AB_cgh-1,0.011093533409127502
alpha-diff2_ubc-6,0.011067802231939138
alpha-P1_tba-2,0.011039766932413991
alpha-P1_hxk-1,0.011009697224072225
alpha-P1_pas-3,0.010983161421911422
alpha-ABa_R05D11.9,0.010968103632478634
TP-P1_rpn-3,0.010956849646080418
TP-AB_tam-1,0.010950256926014501
alpha-P2_pbs-1,0.010945168627668627
TP-P2_pid-1,0.010931525881525881
alpha-diff2_ntl-2,0.010931185481185483
alpha-diff_ubql-1,0.010923961109696406
alpha-P2_snrp-27,0.01092053727615225
TP-ABa_T19H12.2,0.010907792531542532
alpha-ABa_usp-4,0.010899784558875466
alpha-AB_K04F10.3,0.010891462168529478
alpha-P2_snr-2,0.010878234612609613
alpha-P1_tofu-1,0.01083000481000481
TP-P2_pas-4,0.010811127608774668
TP-AB_Y82E9BR.3,0.010769791574166573
TP-P2_rbm-3.2,0.01076626843064343
TP-P1_C35A5.8,0.01075510815217546
TP-AB_F10E9.3,0.010750046370887537
alpha-diff2_mom-2,0.010657261604136605
TP-P0_paa-1,0.010636568986568987
alpha-ABa_sftb-1,0.010627913382913384
TP-P0_B0001.7,0.0106158167989418
TP-ABa_gld-4,0.010588869436663555
alpha-diff2_larp-5,0.010576713349039552
alpha-diff_imp-1,0.010549671287318346
TP-P1_vps-20,0.010546010115240884
TP-P1_npp-18,0.010520396107160813
TP-P1_ani-2,0.010518662818662821
alpha-diff_acaa-2,0.010481496281496281
TP-ABa_sir-2.1,0.010479772079772081
TP-ABa_pgap-1,0.010474666074666076
TP-P2_B0035.3,0.010472861452273217
alpha-AB_lin-61,0.010467540001476651
TP-P1_C16C2.4,0.010466028416028417
alpha-P2_pph-4.2,0.010450795500795501
alpha-P2_acdh-10,0.01044962377899878
